Round,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5
1,2,25,27,29,35
2,4,23,25,31,35
3,6,11,12,29,34
4,12,15,23,24,35
5,3,10,13,16,18
6,4,5,9,11,13
7,6,14,15,29,33
8,2,3,5,8,24
9,9,17,22,23,29
10,11,15,16,20,25
11,2,5,16,21,35
12,1,10,11,18,23
13,6,7,11,20,31
14,11,22,27,32,34
15,1,3,8,12,16
16,7,9,15,27,35
17,7,12,13,21,33
18,1,20,33,34,35
19,7,14,20,30,31
20,20,21,26,28,29
21,2,3,9,27,32
22,4,6,10,14,27
23,1,3,12,18,29
24,5,8,13,23,29
25,5,12,24,27,34
26,10,19,30,32,34
27,10,16,17,30,32
28,9,10,11,20,21
29,13,15,21,30,35
30,17,22,23,24,35
31,15,18,22,24,29
32,3,4,17,30,31
33,10,18,21,23,25
34,1,15,20,22,32
35,4,7,10,22,34
36,5,15,16,31,33
37,4,16,17,25,35
38,6,8,19,23,32
39,2,6,9,20,28
40,1,3,9,19,33
41,3,9,17,20,28
42,2,6,13,18,23
43,6,11,19,29,30
44,4,9,14,29,33
45,10,11,14,18,32
46,13,14,32,34,35
47,9,15,20,27,28
48,4,7,21,23,31
49,2,10,14,15,16
50,3,5,13,15,30
51,1,4,6,12,35
52,1,3,6,16,21
53,12,20,21,27,32
54,6,10,25,26,34
55,2,3,6,23,27
56,2,5,9,26,31
57,5,11,17,23,33
58,4,22,26,29,35
59,10,11,18,22,34
60,3,9,19,22,34
61,10,15,23,24,32
62,11,22,27,33,34
63,11,16,17,22,33
64,2,12,18,27,29
65,5,6,8,20,27
66,1,10,12,13,21
67,9,23,27,31,35
68,7,12,18,23,27
69,4,8,19,26,28
70,11,17,20,25,29
71,4,11,13,28,30
72,10,12,16,22,28
73,3,14,26,31,33
74,6,16,25,29,34
75,6,12,20,23,30
76,6,8,16,17,23
77,16,18,24,28,33
78,6,16,19,22,33
79,2,15,19,23,30
80,2,16,19,29,30
81,5,8,9,12,28
82,4,13,19,24,30
83,6,14,16,18,24
84,3,13,17,18,21
85,8,16,17,23,29
86,10,11,13,21,33
87,5,16,25,27,33
88,1,17,20,27,29
89,2,8,10,14,16
90,10,12,26,27,35
91,12,17,18,31,33
92,11,16,22,25,29
93,3,17,22,25,32
94,7,16,18,27,32
95,8,15,25,28,33
96,7,8,13,21,32
97,2,6,7,16,25
98,2,4,13,17,33
99,3,15,20,21,25
100,5,18,27,30,33
101,12,13,19,31,35
