iter	MultiClass
0	3.440157048
1	3.414709679
2	3.392961638
3	3.371361428
4	3.352050042
5	3.334943408
6	3.318208867
7	3.303008475
8	3.288641763
9	3.275733538
10	3.262547292
11	3.249644333
12	3.238599343
13	3.226980506
14	3.216621518
15	3.206161877
16	3.196484634
17	3.187612381
18	3.179060119
19	3.170361818
20	3.163145362
21	3.155668017
22	3.147683073
23	3.140749581
24	3.134017632
25	3.127204434
26	3.120751723
27	3.114705589
28	3.109755384
29	3.104256147
30	3.098422681
31	3.093073764
32	3.088423006
33	3.083018235
34	3.077933393
35	3.073953745
36	3.070488246
37	3.066290006
38	3.061953951
39	3.057647536
40	3.053036531
41	3.048563994
42	3.045147855
43	3.042183727
44	3.038120994
45	3.034395235
46	3.031109344
47	3.027322681
48	3.023839206
49	3.020801313
50	3.017387397
51	3.014390785
52	3.011256181
53	3.008544326
54	3.005995875
55	3.004429283
56	3.001174514
57	2.998989602
58	2.996263837
59	2.993797533
60	2.991076243
61	2.988688834
62	2.985489797
63	2.98315583
64	2.980061301
65	2.977206318
66	2.974001015
67	2.971472291
68	2.968754506
69	2.965663969
70	2.963314281
71	2.961181491
72	2.958496783
73	2.9555979
74	2.953711004
75	2.951515248
76	2.949607777
77	2.947262012
78	2.945111557
79	2.942292598
80	2.940107155
81	2.937425033
82	2.934960585
83	2.933039742
84	2.930949736
85	2.92901671
86	2.92702135
87	2.924959838
88	2.923496935
89	2.92157111
90	2.919434778
91	2.917574612
92	2.915894464
93	2.914126958
94	2.912548784
95	2.911130276
96	2.909347357
97	2.907822664
98	2.906414168
99	2.903994135
100	2.902443681
101	2.900229925
102	2.898633851
103	2.896597506
104	2.895150847
105	2.893670141
106	2.891894246
107	2.890453872
108	2.889118025
109	2.887706762
110	2.886206759
111	2.88481627
112	2.883732472
113	2.88162406
114	2.880372434
115	2.878681467
116	2.877205509
117	2.875960865
118	2.874772604
119	2.873616987
120	2.872583812
121	2.871490414
122	2.870267492
123	2.868869962
124	2.867684053
125	2.867075341
126	2.864869768
127	2.86364214
128	2.862920689
129	2.861334191
130	2.860613084
131	2.859574984
132	2.858826773
133	2.85764505
134	2.856194186
135	2.854925276
136	2.853741281
137	2.85258424
138	2.851241488
139	2.850058243
140	2.848834506
141	2.847100409
142	2.845953176
143	2.844852042
144	2.843614975
145	2.842680462
146	2.84175765
147	2.840555346
148	2.839064764
149	2.837928878
150	2.837198562
151	2.83549252
152	2.833813779
153	2.832715885
154	2.831993206
155	2.831330507
156	2.830087273
157	2.82921666
158	2.827953935
159	2.826590997
160	2.825590212
161	2.824299258
162	2.823513464
163	2.822582298
164	2.821630769
165	2.820579286
166	2.819804393
167	2.818822472
168	2.818012695
169	2.816767901
170	2.815980929
171	2.815014551
172	2.814091874
173	2.812632138
174	2.811381669
175	2.810241839
176	2.809367516
177	2.808544927
178	2.807579693
179	2.806653883
180	2.805963589
181	2.804972527
182	2.803866165
183	2.80273037
184	2.801750266
185	2.80035861
186	2.799272041
187	2.798170989
188	2.797086232
189	2.796228835
190	2.795328992
191	2.794560594
192	2.79289872
193	2.791878866
194	2.790810332
195	2.789872088
196	2.789139936
197	2.788544989
198	2.787790367
199	2.786450395
200	2.785584523
201	2.784198295
202	2.783534277
203	2.782926297
204	2.781982889
205	2.781501517
206	2.780396167
207	2.779655214
208	2.779041951
209	2.777384902
210	2.775971831
211	2.774819622
212	2.774035118
213	2.773293253
214	2.772625547
215	2.771443737
216	2.769761897
217	2.768723019
218	2.767591732
219	2.766835931
220	2.765776791
221	2.764831074
222	2.763934317
223	2.762562527
224	2.761787618
225	2.760764288
226	2.760073531
227	2.759323697
228	2.758680194
229	2.757234566
230	2.756078044
231	2.754817711
232	2.754024882
233	2.753383261
234	2.752561689
235	2.751183774
236	2.750183916
237	2.749639706
238	2.748683072
239	2.747893463
240	2.747251434
241	2.746815049
242	2.746145694
243	2.74500381
244	2.744140007
245	2.743398174
246	2.742213701
247	2.741329866
248	2.740364948
249	2.73982526
250	2.739181439
251	2.73863303
252	2.737819073
253	2.737080245
254	2.73645151
255	2.735690783
256	2.734742534
257	2.733615587
258	2.732597517
259	2.731523899
260	2.730971781
261	2.729843776
262	2.728592348
263	2.727561533
264	2.726773766
265	2.725171083
266	2.724059889
267	2.723044985
268	2.722454035
269	2.721793522
270	2.720783337
271	2.719896358
272	2.719020141
273	2.718234388
274	2.717677467
275	2.716778292
276	2.715510513
277	2.714405567
278	2.71324405
279	2.712143044
280	2.711373597
281	2.710368582
282	2.709496435
283	2.708917924
284	2.707466003
285	2.706405633
286	2.705823434
287	2.704856553
288	2.704167027
289	2.703654553
290	2.702668761
291	2.701534175
292	2.700708557
293	2.699125932
294	2.698362987
295	2.697374854
296	2.696509963
297	2.695488281
298	2.694890698
299	2.694249129
300	2.693504093
301	2.692820169
302	2.691860423
303	2.691082675
304	2.690029417
305	2.689195204
306	2.68876132
307	2.688257072
308	2.687694098
309	2.686971028
310	2.686475341
311	2.685415776
312	2.68434152
313	2.68346644
314	2.682505834
315	2.681617706
316	2.68106106
317	2.68025881
318	2.679819337
319	2.679099503
320	2.678193141
321	2.677408718
322	2.676743799
323	2.676281753
324	2.67564653
325	2.674553532
326	2.673525018
327	2.672399013
328	2.671708022
329	2.670909679
330	2.670098879
331	2.669310505
332	2.668507475
333	2.667651402
334	2.667102907
335	2.666584777
336	2.665946595
337	2.665436688
338	2.664998671
339	2.664047082
340	2.663550321
341	2.663069139
342	2.662388523
343	2.661011071
344	2.6600103
345	2.658792817
346	2.658258904
347	2.657131582
348	2.656592087
349	2.655829673
350	2.65469362
351	2.65406903
352	2.653495822
353	2.652721104
354	2.652039006
355	2.651597175
356	2.651027336
357	2.650282309
358	2.64959027
359	2.649126207
360	2.64863833
361	2.648188377
362	2.646742484
363	2.646105655
364	2.645161478
365	2.644501478
366	2.64308839
367	2.642650864
368	2.641321908
369	2.640328741
370	2.639155623
371	2.638440934
372	2.636618275
373	2.635484187
374	2.634501389
375	2.634115995
376	2.633105984
377	2.631704965
378	2.631019162
379	2.629848411
380	2.629409638
381	2.628912863
382	2.628238593
383	2.627603852
384	2.626973275
385	2.626186932
386	2.625200663
387	2.624512836
388	2.623510623
389	2.622567939
390	2.621828398
391	2.621069175
392	2.620548386
393	2.619863471
394	2.619387612
395	2.618415402
396	2.617487025
397	2.61704369
398	2.616006338
399	2.615352756
400	2.614510446
401	2.613790979
402	2.613050906
403	2.612381474
404	2.611811147
405	2.611301452
406	2.610433632
407	2.60946203
408	2.60897884
409	2.608560052
410	2.608067523
411	2.60692743
412	2.606167099
413	2.60565867
414	2.604964853
415	2.604288496
416	2.603473269
417	2.60242558
418	2.601860628
419	2.601312559
420	2.600662025
421	2.599191582
422	2.598637478
423	2.598351768
424	2.597167355
425	2.595964276
426	2.595341871
427	2.594507979
428	2.593675187
429	2.593239583
430	2.592677177
431	2.59205441
432	2.591266249
433	2.590314288
434	2.589565534
435	2.588636236
436	2.587744511
437	2.587374653
438	2.586641487
439	2.585760857
440	2.584548997
441	2.58364499
442	2.582990796
443	2.581755022
444	2.580690539
445	2.580345397
446	2.579091273
447	2.578272962
448	2.577734708
449	2.577329994
450	2.57626451
451	2.575599931
452	2.574562129
453	2.573590638
454	2.57267016
455	2.571510223
456	2.57068999
457	2.569913918
458	2.569442529
459	2.568080932
460	2.567380835
461	2.566564361
462	2.565708336
463	2.565038602
464	2.564378609
465	2.563674755
466	2.562257992
467	2.561644094
468	2.561059298
469	2.560150839
470	2.559409736
471	2.558779285
472	2.55832318
473	2.557958508
474	2.557548747
475	2.557087227
476	2.556561656
477	2.556083418
478	2.55579549
479	2.555168145
480	2.554440536
481	2.553857509
482	2.553417933
483	2.553046014
484	2.552430487
485	2.55151205
486	2.550778261
487	2.550104501
488	2.549622629
489	2.549013788
490	2.548454317
491	2.547081605
492	2.546000134
493	2.54546884
494	2.545105435
495	2.544555485
496	2.543858397
497	2.542777377
498	2.542209148
499	2.541495044
500	2.540932949
501	2.540536442
502	2.540196113
503	2.539250346
504	2.538785926
505	2.537821936
506	2.537116999
507	2.536520497
508	2.536046696
509	2.535353151
510	2.534404011
511	2.533913886
512	2.533193152
513	2.532751908
514	2.532034848
515	2.530829153
516	2.530010042
