iter	Passed	Remaining
0	17	17413
1	34	17420
2	51	17173
3	69	17399
4	91	18274
5	114	18975
6	132	18769
7	149	18513
8	166	18368
9	184	18245
10	203	18291
11	221	18264
12	241	18309
13	263	18530
14	281	18516
15	299	18408
16	317	18352
17	335	18321
18	353	18259
19	370	18172
20	388	18100
21	405	18007
22	422	17929
23	439	17855
24	456	17798
25	473	17739
26	490	17672
27	507	17608
28	523	17537
29	541	17494
30	558	17444
31	574	17389
32	593	17385
33	610	17348
34	627	17308
35	645	17280
36	662	17247
37	679	17214
38	697	17180
39	714	17146
40	732	17138
41	749	17103
42	767	17073
43	784	17049
44	802	17035
45	820	17020
46	838	16994
47	855	16957
48	871	16917
49	888	16884
50	905	16851
51	923	16834
52	940	16802
53	957	16777
54	975	16764
55	979	16507
56	996	16492
57	1014	16481
58	1032	16460
59	1049	16441
60	1067	16427
61	1084	16401
62	1102	16393
63	1119	16374
64	1138	16370
65	1155	16355
66	1173	16345
67	1192	16342
68	1211	16340
69	1229	16329
70	1246	16310
71	1264	16296
72	1281	16277
73	1299	16259
74	1310	16162
75	1329	16168
76	1347	16150
77	1365	16136
78	1382	16121
79	1400	16106
80	1419	16099
81	1436	16086
82	1454	16071
83	1472	16060
84	1490	16046
85	1508	16032
86	1525	16009
87	1542	15990
88	1560	15968
89	1578	15964
90	1596	15950
91	1613	15925
92	1630	15902
93	1647	15878
94	1664	15860
95	1681	15838
96	1699	15817
97	1716	15797
98	1733	15781
99	1750	15756
100	1767	15732
101	1784	15707
102	1801	15688
103	1819	15671
104	1835	15647
105	1852	15625
106	1869	15601
107	1886	15579
108	1903	15562
109	1921	15547
110	1938	15521
111	1954	15497
112	1971	15477
113	1988	15455
114	2005	15433
115	2022	15412
116	2039	15394
117	2057	15377
118	2074	15358
119	2092	15342
120	2109	15322
121	2126	15305
122	2143	15284
123	2160	15265
124	2177	15244
125	2194	15224
126	2211	15205
127	2228	15182
128	2245	15159
129	2261	15137
130	2278	15114
131	2295	15091
132	2312	15074
133	2330	15058
134	2347	15039
135	2363	15017
136	2380	14997
137	2397	14978
138	2414	14956
139	2431	14938
140	2449	14920
141	2465	14899
142	2483	14880
143	2499	14860
144	2516	14841
145	2533	14819
146	2550	14799
147	2567	14778
148	2585	14766
149	2602	14746
150	2619	14726
151	2635	14705
152	2652	14684
153	2669	14664
154	2686	14645
155	2703	14625
156	2720	14608
157	2737	14590
158	2755	14572
159	2772	14554
160	2789	14535
161	2806	14515
162	2823	14499
163	2841	14483
164	2858	14465
165	2875	14444
166	2892	14425
167	2909	14406
168	2925	14386
169	2943	14369
170	2959	14349
171	2976	14328
172	2993	14311
173	3010	14292
174	3027	14272
175	3044	14253
176	3061	14234
177	3078	14214
178	3094	14194
179	3111	14175
180	3129	14160
181	3146	14142
182	3163	14122
183	3179	14101
184	3197	14084
185	3213	14065
186	3230	14046
187	3247	14027
188	3264	14008
189	3282	13992
190	3300	13977
191	3318	13965
192	3335	13947
193	3353	13931
194	3370	13912
195	3387	13895
196	3404	13876
197	3421	13857
198	3437	13838
199	3454	13819
200	3474	13811
201	3492	13795
202	3508	13775
203	3525	13755
204	3542	13737
205	3559	13721
206	3577	13703
207	3594	13686
208	3611	13667
209	3627	13648
210	3644	13628
211	3661	13609
212	3678	13589
213	3696	13578
214	3715	13565
215	3734	13554
216	3752	13539
217	3769	13522
218	3786	13503
219	3804	13488
220	3821	13469
221	3838	13450
222	3855	13432
223	3871	13413
224	3888	13393
225	3905	13375
226	3922	13356
227	3939	13337
228	3955	13318
229	3972	13300
230	3989	13281
231	4006	13263
232	4024	13246
233	4040	13226
234	4057	13208
235	4074	13189
236	4091	13173
237	4109	13157
238	4127	13142
239	4144	13123
240	4160	13104
241	4177	13085
242	4195	13070
243	4212	13051
244	4229	13032
245	4246	13015
246	4263	12998
247	4280	12979
248	4297	12962
249	4315	12946
250	4332	12929
251	4349	12911
252	4366	12892
253	4383	12874
254	4400	12855
255	4417	12838
256	4434	12820
257	4451	12801
258	4467	12782
259	4484	12762
260	4500	12743
261	4517	12724
262	4534	12705
263	4550	12686
264	4567	12667
265	4585	12653
266	4602	12635
267	4619	12617
268	4636	12599
269	4653	12580
270	4669	12561
271	4686	12543
272	4703	12526
273	4720	12507
274	4737	12488
275	4754	12471
276	4771	12453
277	4788	12435
278	4805	12417
279	4821	12398
280	4838	12380
281	4855	12363
282	4872	12346
283	4890	12329
284	4907	12311
285	4924	12295
286	4942	12277
287	4959	12259
288	4975	12241
289	4992	12223
290	5009	12205
291	5026	12187
292	5043	12170
293	5060	12151
294	5076	12132
295	5093	12114
296	5111	12098
297	5129	12082
298	5146	12064
299	5162	12046
300	5180	12029
301	5197	12013
302	5215	11996
303	5231	11977
304	5248	11959
305	5264	11940
306	5282	11924
307	5300	11908
308	5317	11891
309	5334	11872
310	5350	11854
311	5367	11836
312	5384	11818
313	5401	11801
314	5419	11784
315	5436	11767
316	5453	11749
317	5470	11733
318	5487	11715
319	5505	11700
320	5523	11682
321	5540	11665
322	5557	11648
323	5574	11631
324	5591	11612
325	5607	11594
326	5624	11576
327	5642	11559
328	5658	11541
329	5675	11523
330	5692	11504
331	5709	11487
332	5726	11469
333	5743	11451
334	5760	11435
335	5777	11416
336	5794	11399
337	5811	11381
338	5827	11363
339	5844	11345
340	5861	11327
341	5878	11309
342	5895	11292
343	5912	11274
344	5928	11256
345	5945	11238
346	5963	11221
347	5979	11203
348	5996	11185
349	6013	11167
350	6029	11149
351	6047	11132
352	6063	11113
353	6080	11095
354	6097	11078
355	6115	11062
356	6132	11044
357	6149	11028
358	6166	11010
359	6183	10992
360	6201	10976
361	6217	10958
362	6234	10941
363	6252	10924
364	6269	10906
365	6287	10890
366	6304	10874
367	6321	10856
368	6338	10838
369	6354	10820
370	6371	10801
371	6387	10783
372	6404	10765
373	6421	10747
374	6437	10729
375	6454	10711
376	6471	10694
377	6489	10678
378	6506	10661
379	6523	10644
380	6540	10626
381	6557	10608
382	6575	10592
383	6591	10574
