Round,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Nr.6,Nr.7,Nr.8,Nr.9,Nr.10
100,4,5,6,7,8,12,16,18,19,20
99,3,4,6,7,9,13,17,18,19,20
98,1,2,4,6,7,9,17,18,19,20
97,1,2,3,5,10,11,13,15,17,18
96,1,2,4,8,9,11,14,18,19,20
95,5,6,9,10,11,12,13,14,15,20
94,1,3,4,5,6,8,9,11,17,20
93,6,8,9,10,11,12,13,15,17,20
92,1,2,3,4,6,10,12,13,16,18
91,2,4,8,12,13,14,15,17,18,19
90,1,2,5,8,9,12,13,15,16,20
89,1,5,9,11,13,15,16,17,18,19
88,1,3,4,5,8,13,14,16,17,20
87,1,2,4,6,7,9,10,11,15,16
86,3,5,6,7,10,13,14,17,18,19
85,1,2,8,9,10,11,13,14,16,19
84,6,10,11,12,13,14,15,18,19,20
83,1,2,3,4,7,11,12,13,15,17
82,2,3,4,7,9,11,14,17,18,19
81,3,4,9,13,14,16,17,18,19,20
80,3,4,6,8,9,10,11,12,13,14
79,1,2,3,6,8,10,11,17,18,20
78,1,3,4,5,6,8,10,11,16,20
77,1,2,3,4,5,6,8,10,12,15
76,1,8,10,12,13,14,15,17,18,19
75,1,2,3,4,6,7,13,15,16,20
74,1,2,4,5,6,13,14,15,16,19
73,1,4,8,9,11,13,14,17,18,20
72,1,4,5,8,9,10,12,13,14,18
71,1,3,6,8,11,13,15,17,19,20
70,2,5,6,7,9,11,12,15,16,20
69,1,2,3,7,11,13,14,17,18,19
68,2,3,5,6,8,9,12,13,14,17
67,1,7,8,11,12,13,15,16,17,20
66,2,4,5,7,8,10,12,15,16,17
65,3,4,6,9,10,11,14,15,16,17
64,1,2,3,6,7,12,13,15,17,20
63,1,3,5,6,7,9,16,18,19,20
62,1,5,9,10,11,14,15,16,19,20
61,1,2,4,8,12,13,14,15,17,20
60,1,5,8,10,11,12,14,15,18,20
59,1,5,6,8,12,13,15,16,17,20
58,3,6,7,8,12,13,15,16,17,18
57,2,5,6,10,11,13,14,16,17,18
56,2,4,6,7,8,10,11,13,15,16
55,2,5,7,8,9,10,12,16,17,19
54,3,7,9,10,11,12,13,14,19,20
53,1,3,7,8,10,11,12,14,17,18
52,3,6,8,10,11,12,13,14,17,18
51,1,4,5,6,11,13,14,15,16,20
50,1,5,6,7,8,13,15,16,17,20
49,4,6,8,11,12,14,15,16,17,18
48,1,3,4,8,10,12,13,14,15,20
47,4,7,10,11,13,15,16,17,18,20
46,3,7,8,9,11,12,13,15,18,20
45,1,7,8,9,10,11,12,14,15,17
44,1,2,3,6,10,11,14,15,18,19
43,3,4,5,6,7,8,12,13,14,20
42,3,6,7,9,11,12,13,15,16,18
41,1,8,11,12,13,15,16,17,18,19
40,3,5,6,7,10,11,12,14,18,20
39,2,4,5,7,9,10,12,15,16,19
38,2,3,7,8,10,11,12,15,16,19
37,1,2,3,4,7,10,12,13,14,17
36,1,2,4,7,8,9,10,12,13,20
35,3,6,8,9,10,11,12,14,19,20
34,2,3,4,7,9,11,12,13,17,20
33,2,4,6,10,12,14,15,16,18,19
32,1,3,4,5,9,10,15,16,19,20
31,4,5,8,9,10,11,13,15,17,19
30,2,3,7,8,9,10,11,16,17,18
29,2,4,8,11,13,15,16,17,19,20
28,1,2,6,7,8,11,13,14,15,17
27,2,3,5,6,9,11,12,16,18,20
26,2,3,5,7,8,9,14,15,17,18
25,1,2,4,7,8,14,16,17,19,20
24,1,2,3,4,5,7,10,14,18,20
23,1,3,4,6,7,9,10,15,17,19
22,2,3,6,9,10,11,13,14,17,19
21,1,2,5,9,10,12,13,15,16,19
20,3,7,8,10,11,12,14,16,18,19
19,1,2,4,9,10,12,13,14,17,20
18,1,2,3,4,7,8,13,14,16,18
17,1,4,7,9,10,13,14,18,19,20
16,1,2,5,6,7,9,11,13,14,16
15,1,2,6,12,14,15,16,17,19,20
14,3,4,5,6,8,10,12,13,14,18
13,1,2,7,10,14,15,16,17,18,19
12,2,7,8,9,11,12,13,14,17,18
11,4,7,8,11,12,14,16,17,19,20
10,1,2,3,4,7,12,14,15,18,20
9,1,5,9,10,11,12,13,14,17,20
8,1,2,3,6,9,10,12,14,16,20
7,1,3,4,5,6,7,9,12,17,19
6,2,5,6,7,11,13,14,15,16,18
5,4,5,6,8,9,10,11,14,17,18
4,2,4,5,6,8,10,11,16,18,20
3,2,6,8,10,14,15,16,17,18,19
2,4,5,7,8,10,11,12,14,19,20
1,3,4,6,7,10,11,13,16,18,19
