Round,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Nr.6
1,38,17,47,25,30,37
2,6,7,30,17,2,42
3,44,20,17,3,38,45
4,42,30,36,5,4,6
5,5,14,7,49,35,19
6,42,28,41,15,22,38
7,18,4,16,35,2,17
8,44,48,34,37,4,41
9,13,7,6,45,29,25
10,8,22,43,14,34,15
11,14,17,47,19,36,12
12,48,20,6,43,4,35
13,37,36,17,35,15,8
14,12,33,41,7,34,43
15,49,15,46,25,12,32
16,7,20,27,46,2,33
17,39,5,6,19,20,2
18,14,47,40,26,24,36
19,45,10,18,43,35,11
20,38,29,49,47,8,3
21,16,42,33,4,38,7
22,22,39,35,29,44,46
23,34,9,10,19,2,47
24,11,8,25,13,3,38
25,38,49,36,20,19,5
26,49,42,11,45,9,23
27,23,46,1,35,2,22
28,10,41,29,25,18,8
29,19,7,16,18,6,49
30,15,44,32,21,49,10
31,29,32,38,24,11,15
32,10,18,23,40,35,33
33,37,10,44,27,47,48
34,34,7,49,14,47,44
35,43,49,4,36,24,26
36,46,27,6,31,2,11
37,27,14,3,43,22,42
38,47,38,36,19,5,35
39,41,4,39,13,24,33
40,18,29,17,48,47,34
41,33,29,31,23,41,6
42,29,17,11,14,28,39
43,35,16,8,47,46,36
44,36,21,5,47,40,33
45,25,31,46,39,1,22
46,20,45,32,23,18,19
47,29,27,44,43,30,46
48,28,26,48,37,44,1
49,1,15,9,45,44,14
50,41,7,48,3,11,16
51,5,8,48,2,28,25
52,49,39,9,42,37,13
53,10,7,45,2,8,20
54,48,38,15,45,12,42
55,4,33,17,45,13,39
56,16,11,12,14,15,38
57,28,45,2,7,19,43
58,25,23,41,40,27,34
59,18,44,1,43,40,9
60,3,31,1,28,15,12
61,38,13,31,28,19,23
62,49,31,10,43,37,12
63,25,18,42,36,43,12
64,20,44,18,48,19,28
65,41,8,37,22,6,5
66,41,36,18,23,27,10
67,38,12,1,2,44,41
68,1,31,16,4,33,18
69,23,5,42,18,15,12
70,12,49,23,18,5,28
71,39,46,35,43,17,16
72,36,37,24,48,10,5
73,13,25,16,14,49,37
74,4,35,39,22,11,46
75,19,5,24,9,36,40
76,3,22,13,5,35,6
77,16,30,11,4,19,46
78,34,28,48,32,4,20
79,30,46,39,19,35,48
80,36,4,12,20,7,39
81,32,14,44,34,21,24
82,29,43,24,8,17,18
83,13,33,16,1,30,36
84,42,35,5,26,37,25
85,36,15,43,19,16,32
86,38,34,9,24,25,36
87,20,30,48,29,16,36
88,43,47,34,4,8,48
89,45,28,43,40,32,29
90,31,26,16,10,23,43
91,27,31,24,40,7,19
92,32,25,21,6,27,14
93,16,9,46,41,1,37
94,24,33,25,44,42,28
95,28,2,30,16,29,10
96,45,40,16,6,32,38
97,28,35,41,34,20,25
98,10,17,28,32,27,35
99,22,6,19,3,31,15
100,31,7,9,40,26,14
101,13,6,21,41,19,15
102,45,28,2,34,26,7
103,39,3,26,38,11,20
104,28,2,43,47,12,19
105,8,42,17,12,32,43
106,10,12,36,42,18,1
107,21,18,15,35,11,7
108,21,1,9,16,37,42
109,18,45,17,23,9,39
